timestamp,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
1719315481.40000010,374464321,0,6,214699400,2320,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1719315481.58076119,374645082,0,6,214699600,2320,10,1.21,-35.3632621,149.1652374,584.09,0.0,0.0,0.0,0.0,1
1719315481.78068113,374845002,0,6,214699800,2320,10,1.21,-35.3632621,149.1652374,584.09,0.030000001192092896,352.8773193359375,0.0,0.0,1
1719315481.98060131,375044922,0,6,214700000,2320,10,1.21,-35.3632619,149.1652374,584.09,0.2680000066757202,353.03314208984375,0.0,0.0,1
1719315482.18052125,375244842,0,6,214700200,2320,10,1.21,-35.3632609,149.1652372,584.1,0.9180000424385071,352.99969482421875,-0.004000000189989805,0.0,1
1719315482.40043330,375464754,0,6,214700400,2320,10,1.21,-35.3632583,149.1652368,584.1,2.0440001487731934,353.0066223144531,-0.01100000087171793,0.0,1
1719315482.60035324,375664674,0,6,214700600,2320,10,1.21,-35.363253199999996,149.165236,584.1,3.628000259399414,352.9800109863281,-0.023000001907348633,0.0,1
1719315482.80027318,375864594,0,6,214700800,2320,10,1.21,-35.3632451,149.1652348,584.1,5.590000152587891,352.9844665527344,-0.03800000250339508,0.0,1
1719315483.00019312,376064514,0,6,214701000,2320,10,1.21,-35.3632333,149.1652331,584.11,7.704000473022461,352.99993896484375,-0.055000003427267075,0.0,1
1719315483.20011330,376264434,0,6,214701200,2320,10,1.21,-35.3632177,149.1652308,584.13,9.721000671386719,352.98931884765625,-0.07300000637769699,0.0,1
1719315483.40003324,376464354,0,6,214701400,2320,10,1.21,-35.3631987,149.1652279,584.14,11.544000625610352,352.9924621582031,-0.10300000756978989,0.0,1
1719315483.58079410,376645115,0,6,214701600,2320,10,1.21,-35.363176599999996,149.1652245,584.17,13.141000747680664,353.00982666015625,-0.18700000643730164,0.0,1
1719315483.78071427,376845035,0,6,214701800,2320,10,1.21,-35.363152,149.1652208,584.21,14.482000350952148,353.0095520019531,-0.23500001430511475,0.0,1
1719315483.98063421,377044955,0,6,214702000,2320,10,1.21,-35.3631252,149.1652168,584.26,15.60400104522705,353.001708984375,-0.21000000834465027,0.0,1
1719315484.18055415,377244875,0,6,214702200,2320,10,1.21,-35.363096399999996,149.1652125,584.3000000000001,16.704999923706055,353.0032958984375,-0.2760000228881836,0.0,1
1719315484.40046620,377464787,0,6,214702400,2320,10,1.21,-35.3630655,149.1652078,584.52,17.829999923706055,353.0169677734375,-2.2730000019073486,0.0,1
1719315484.60038614,377664707,0,6,214702600,2320,10,1.21,-35.3630332,149.165203,585.36,18.174001693725586,353.049560546875,-6.201000213623047,0.0,1
1719315484.80030608,377864627,0,6,214702800,2320,10,1.21,-35.363000899999996,149.1651982,586.86,18.13800048828125,353.11279296875,-8.259000778198242,0.0,1
1719315485.00022626,378064547,0,6,214703000,2320,10,1.21,-35.362968099999996,149.1651933,588.45,18.825000762939453,353.1322937011719,-7.312000274658203,0.0,1
1719315485.20014620,378264467,0,6,214703200,2320,10,1.21,-35.3629336,149.1651882,589.75,19.8700008392334,353.13592529296875,-5.737000465393066,0.0,1
1719315485.40006614,378464387,0,6,214703400,2320,10,1.21,-35.3628973,149.1651829,590.84,20.817001342773438,353.17071533203125,-5.4760003089904785,0.0,1
1719315485.59998631,378664307,0,6,214703600,2320,10,1.21,-35.3628595,149.1651774,592.03,21.514001846313477,353.1885986328125,-6.479000091552734,0.0,1
1719315485.78074718,378845068,0,6,214703800,2320,10,1.21,-35.3628206,149.1651717,593.44,22.041000366210938,353.2399597167969,-7.6080002784729,0.0,1
1719315485.98066711,379044988,0,6,214704000,2320,10,1.21,-35.362780799999996,149.1651659,595.03,22.61600112915039,353.3217468261719,-8.175000190734863,0.0,1
1719315486.18058729,379244908,0,6,214704200,2320,10,1.21,-35.3627398,149.16516,596.6800000000001,23.281002044677734,353.404052734375,-8.268000602722168,0.0,1
1719315486.40049911,379464820,0,6,214704400,2320,10,1.21,-35.3626976,149.1651541,598.33,23.911001205444336,353.42596435546875,-8.285000801086426,0.0,1
1719315486.60041928,379664740,0,6,214704600,2320,10,1.21,-35.3626544,149.1651479,600.01,24.41200065612793,353.3818054199219,-8.485000610351562,0.0,1
1719315486.80033922,379864660,0,6,214704800,2320,10,1.21,-35.362610499999995,149.1651417,601.74,24.79800033569336,353.3472595214844,-8.791000366210938,0.0,1
1719315487.00025916,380064580,0,6,214705000,2320,10,1.21,-35.362566,149.1651354,603.52,25.147001266479492,353.36761474609375,-9.00200080871582,0.0,1
1719315487.20017910,380264500,0,6,214705200,2320,10,1.21,-35.3625208,149.16512889999998,605.32,25.487001419067383,353.4286193847656,-9.096000671386719,0.0,1
1719315487.40009928,380464420,0,6,214705400,2320,10,1.21,-35.3624751,149.1651225,607.15,25.786001205444336,353.45306396484375,-9.184000015258789,0.0,1
1719315487.60001922,380664340,0,6,214705600,2320,10,1.21,-35.362428799999996,149.1651159,609.0,26.011001586914062,353.43487548828125,-9.357000350952148,0.0,1
1719315487.78078032,380845101,0,6,214705800,2320,10,1.21,-35.3623822,149.1651094,610.89,26.191001892089844,353.4110107421875,-9.530000686645508,0.0,1
1719315487.98070025,381045021,0,6,214706000,2320,10,1.21,-35.3623354,149.1651027,612.8100000000001,26.386001586914062,353.38861083984375,-9.570000648498535,0.0,1
1719315488.18062019,381244941,0,6,214706200,2320,10,1.21,-35.3622881,149.165096,614.72,26.56300163269043,353.38043212890625,-9.599000930786133,0.0,1
